天数,顺从度,顺从度增长
0,0.0,0.082
1,0.082,0.082
2,0.164,0.082
3,0.246,0.082
4,0.328,0.082
5,0.41000000000000003,0.082
6,0.492,0.082
7,0.5740000000000001,0.082
8,0.656,0.082
9,0.738,0.082
10,0.8200000000000001,0.082
11,0.902,0.082
12,0.984,0.082
13,1.066,0.082
14,1.1480000000000001,0.082
15,1.23,0.081
16,1.311,0.081
17,1.3920000000000001,0.081
18,1.473,0.081
19,1.554,0.081
20,1.635,0.081
21,1.716,0.081
22,1.797,0.081
23,1.8780000000000001,0.081
24,1.959,0.081
25,2.04,0.081
26,2.121,0.081
27,2.202,0.081
28,2.283,0.081
29,2.364,0.081
30,2.445,0.08
31,2.525,0.08
32,2.605,0.08
33,2.685,0.08
34,2.765,0.08
35,2.845,0.08
36,2.9250000000000003,0.08
37,3.005,0.08
38,3.085,0.08
39,3.165,0.08
40,3.245,0.08
41,3.325,0.08
42,3.4050000000000002,0.08
43,3.485,0.08
44,3.565,0.08
45,3.645,0.079
46,3.724,0.079
47,3.803,0.079
48,3.882,0.079
49,3.9610000000000003,0.079
50,4.04,0.079
51,4.119,0.079
52,4.198,0.079
53,4.277,0.079
54,4.356,0.079
55,4.4350000000000005,0.079
56,4.514,0.079
57,4.593,0.079
58,4.672,0.079
59,4.751,0.079
60,4.83,0.078
61,4.908,0.078
62,4.986,0.078
63,5.064,0.078
64,5.142,0.078
65,5.22,0.078
66,5.298,0.078
67,5.376,0.078
68,5.454,0.078
69,5.532,0.078
70,5.61,0.078
71,5.688,0.078
72,5.766,0.078
73,5.844,0.078
74,5.922,0.078
75,6.0,0.078
76,6.078,0.077
77,6.155,0.077
78,6.232,0.077
79,6.309,0.077
80,6.386,0.077
81,6.463,0.077
82,6.54,0.077
83,6.617,0.077
84,6.694,0.077
85,6.771,0.077
86,6.848,0.077
87,6.925,0.077
88,7.002,0.077
89,7.079,0.077
90,7.156000000000001,0.077
91,7.2330000000000005,0.076
92,7.309,0.076
93,7.385,0.076
94,7.461,0.076
95,7.537,0.076
96,7.613,0.076
97,7.689,0.076
98,7.765000000000001,0.076
99,7.841,0.076
100,7.917,0.076
101,7.993,0.076
102,8.069,0.076
103,8.145,0.076
104,8.221,0.076
105,8.297,0.076
106,8.373,0.076
107,8.449,0.075
108,8.524000000000001,0.075
109,8.599,0.075
110,8.674,0.075
111,8.749,0.075
112,8.824,0.075
113,8.899000000000001,0.075
114,8.974,0.075
115,9.049,0.075
116,9.124,0.075
117,9.199,0.075
118,9.274000000000001,0.075
119,9.349,0.075
120,9.424,0.075
121,9.499,0.075
122,9.574,0.075
123,9.649000000000001,0.074
124,9.723,0.074
125,9.797,0.074
126,9.871,0.074
127,9.945,0.074
128,10.019,0.074
129,10.093,0.074
130,10.167,0.074
131,10.241,0.074
132,10.315,0.074
133,10.389,0.074
134,10.463000000000001,0.074
135,10.537,0.074
136,10.611,0.074
137,10.685,0.074
138,10.759,0.074
139,10.833,0.074
140,10.907,0.073
141,10.98,0.073
142,11.053,0.073
143,11.126,0.073
144,11.199,0.073
145,11.272,0.073
146,11.345,0.073
147,11.418000000000001,0.073
148,11.491,0.073
149,11.564,0.073
150,11.637,0.073
151,11.71,0.073
152,11.783,0.073
153,11.856,0.073
154,11.929,0.073
155,12.002,0.073
156,12.075000000000001,0.07200000000000001
157,12.147,0.07200000000000001
158,12.219,0.07200000000000001
159,12.291,0.07200000000000001
160,12.363,0.07200000000000001
161,12.435,0.07200000000000001
162,12.507,0.07200000000000001
163,12.579,0.07200000000000001
164,12.651,0.07200000000000001
165,12.723,0.07200000000000001
166,12.795,0.07200000000000001
167,12.867,0.07200000000000001
168,12.939,0.07200000000000001
169,13.011000000000001,0.07200000000000001
170,13.083,0.07200000000000001
171,13.155000000000001,0.07200000000000001
172,13.227,0.07200000000000001
173,13.299,0.07100000000000001
174,13.370000000000001,0.07100000000000001
175,13.441,0.07100000000000001
176,13.512,0.07100000000000001
177,13.583,0.07100000000000001
178,13.654,0.07100000000000001
179,13.725,0.07100000000000001
180,13.796000000000001,0.07100000000000001
181,13.867,0.07100000000000001
182,13.938,0.07100000000000001
183,14.009,0.07100000000000001
184,14.08,0.07100000000000001
185,14.151,0.07100000000000001
186,14.222,0.07100000000000001
187,14.293000000000001,0.07100000000000001
188,14.364,0.07100000000000001
189,14.435,0.07100000000000001
190,14.506,0.07
191,14.576,0.07
192,14.646,0.07
193,14.716000000000001,0.07
194,14.786,0.07
195,14.856,0.07
196,14.926,0.07
197,14.996,0.07
198,15.066,0.07
199,15.136000000000001,0.07
200,15.206,0.07
201,15.276,0.07
202,15.346,0.07
203,15.416,0.07
204,15.486,0.07
205,15.556000000000001,0.07
206,15.626,0.07
207,15.696,0.069
208,15.765,0.069
209,15.834,0.069
210,15.903,0.069
211,15.972,0.069
212,16.041,0.069
213,16.11,0.069
214,16.179000000000002,0.069
215,16.248,0.069
216,16.317,0.069
217,16.386,0.069
218,16.455000000000002,0.069
219,16.524,0.069
220,16.593,0.069
221,16.662,0.069
222,16.731,0.069
223,16.8,0.069
224,16.869,0.068
225,16.937,0.068
226,17.005,0.068
227,17.073,0.068
228,17.141000000000002,0.068
229,17.209,0.068
230,17.277,0.068
231,17.345,0.068
232,17.413,0.068
233,17.481,0.068
234,17.549,0.068
235,17.617,0.068
236,17.685,0.068
237,17.753,0.068
238,17.821,0.068
239,17.889,0.068
240,17.957,0.068
241,18.025000000000002,0.068
242,18.093,0.067
243,18.16,0.067
244,18.227,0.067
245,18.294,0.067
246,18.361,0.067
247,18.428,0.067
248,18.495,0.067
249,18.562,0.067
250,18.629,0.067
251,18.696,0.067
252,18.763,0.067
253,18.830000000000002,0.067
254,18.897000000000002,0.067
255,18.964,0.067
256,19.031,0.067
257,19.098,0.067
258,19.165,0.067
259,19.232,0.067
260,19.299,0.066
261,19.365000000000002,0.066
262,19.431,0.066
263,19.497,0.066
264,19.563,0.066
265,19.629,0.066
266,19.695,0.066
267,19.761,0.066
268,19.827,0.066
269,19.893,0.066
270,19.959,0.066
271,20.025000000000002,0.066
272,20.091,0.066
273,20.157,0.066
274,20.223,0.066
275,20.289,0.066
276,20.355,0.066
277,20.421,0.066
278,20.487000000000002,0.065
279,20.552,0.065
280,20.617,0.065
281,20.682000000000002,0.065
282,20.747,0.065
283,20.812,0.065
284,20.877,0.065
285,20.942,0.065
286,21.007,0.065
287,21.072,0.065
288,21.137,0.065
289,21.202,0.065
290,21.267,0.065
291,21.332,0.065
292,21.397000000000002,0.065
293,21.462,0.065
294,21.527,0.065
295,21.592,0.065
296,21.657,0.065
297,21.722,0.064
298,21.786,0.064
299,21.85,0.064
300,21.914,0.064
301,21.978,0.064
302,22.042,0.064
303,22.106,0.064
304,22.17,0.064
305,22.234,0.064
306,22.298000000000002,0.064
307,22.362000000000002,0.064
308,22.426000000000002,0.064
309,22.490000000000002,0.064
310,22.554000000000002,0.064
311,22.618000000000002,0.064
312,22.682000000000002,0.064
313,22.746000000000002,0.064
314,22.81,0.064
315,22.874,0.064
316,22.938,0.063
317,23.001,0.063
318,23.064,0.063
319,23.127,0.063
320,23.19,0.063
321,23.253,0.063
322,23.316,0.063
323,23.379,0.063
324,23.442,0.063
325,23.505,0.063
326,23.568,0.063
327,23.631,0.063
328,23.694,0.063
329,23.757,0.063
330,23.82,0.063
331,23.883,0.063
332,23.946,0.063
333,24.009,0.063
334,24.072,0.063
335,24.135,0.062
336,24.197,0.062
337,24.259,0.062
338,24.321,0.062
339,24.383,0.062
340,24.445,0.062
341,24.507,0.062
342,24.569,0.062
343,24.631,0.062
344,24.693,0.062
345,24.755,0.062
346,24.817,0.062
347,24.879,0.062
348,24.941,0.062
349,25.003,0.062
350,25.065,0.062
351,25.127,0.062
352,25.189,0.062
353,25.251,0.062
354,25.313,0.061
355,25.374,0.061
356,25.435000000000002,0.061
357,25.496000000000002,0.061
358,25.557000000000002,0.061
359,25.618000000000002,0.061
360,25.679000000000002,0.061
361,25.740000000000002,0.061
362,25.801000000000002,0.061
363,25.862000000000002,0.061
364,25.923000000000002,0.061
365,25.984,0.061
366,26.045,0.061
367,26.106,0.061
368,26.167,0.061
369,26.228,0.061
370,26.289,0.061
371,26.35,0.061
372,26.411,0.061
373,26.472,0.061
374,26.533,0.06
375,26.593,0.06
376,26.653000000000002,0.06
377,26.713,0.06
378,26.773,0.06
379,26.833000000000002,0.06
380,26.893,0.06
381,26.953,0.06
382,27.013,0.06
383,27.073,0.06
384,27.133,0.06
385,27.193,0.06
386,27.253,0.06
387,27.313,0.06
388,27.373,0.06
389,27.433,0.06
390,27.493000000000002,0.06
391,27.553,0.06
392,27.613,0.06
393,27.673000000000002,0.06
394,27.733,0.059000000000000004
395,27.792,0.059000000000000004
396,27.851,0.059000000000000004
397,27.91,0.059000000000000004
398,27.969,0.059000000000000004
399,28.028000000000002,0.059000000000000004
400,28.087,0.059000000000000004
401,28.146,0.059000000000000004
402,28.205000000000002,0.059000000000000004
403,28.264,0.059000000000000004
404,28.323,0.059000000000000004
405,28.382,0.059000000000000004
406,28.441,0.059000000000000004
407,28.5,0.059000000000000004
408,28.559,0.059000000000000004
409,28.618000000000002,0.059000000000000004
410,28.677,0.059000000000000004
411,28.736,0.059000000000000004
412,28.795,0.059000000000000004
413,28.854,0.059000000000000004
414,28.913,0.059000000000000004
415,28.972,0.058
416,29.03,0.058
417,29.088,0.058
418,29.146,0.058
419,29.204,0.058
420,29.262,0.058
421,29.32,0.058
422,29.378,0.058
423,29.436,0.058
424,29.494,0.058
425,29.552,0.058
426,29.61,0.058
427,29.668,0.058
428,29.726,0.058
429,29.784,0.058
430,29.842000000000002,0.058
431,29.900000000000002,0.058
432,29.958000000000002,0.058
433,30.016000000000002,0.058
434,30.074,0.058
435,30.132,0.057
436,30.189,0.057
437,30.246000000000002,0.057
438,30.303,0.057
439,30.36,0.057
440,30.417,0.057
441,30.474,0.057
442,30.531000000000002,0.057
443,30.588,0.057
444,30.645,0.057
445,30.702,0.057
446,30.759,0.057
447,30.816,0.057
448,30.873,0.057
449,30.93,0.057
450,30.987000000000002,0.057
451,31.044,0.057
452,31.101,0.057
453,31.158,0.057
454,31.215,0.057
455,31.272000000000002,0.057
